,0,precio,combustible,CV,km,lugar,año,link
3447,Hyundai Tucson,16.960 €, 1.6 GDI BE Klass 4x2,  Gasolina,                              Madrid             ,                                  2019             ,                 27.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-tucson-16-gdi-be-klass-4x2-en-madrid.htm?id=6611006
3448,Honda Civic,12.500 €, 1.8 i-VTEC Executive,  Gasolina,                              Madrid             ,                                  2014             ,                 90.414 km             ,https://www.coches.com/coches-segunda-mano/ocasion-honda-civic-18-i-vtec-executive-en-madrid.htm?id=6610964
3449,Opel Mokka,20.290 €, 1.2T S&S GS Line 130,  Gasolina,                              Sevilla             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-gs-line-130-en-sevilla.htm?id=6610466
3450,Opel Mokka,26.060 €,-e GS Ultimate-e,  Eléctrico,                              Sevilla             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-opel-mokka--e-gs-ultimate-e-en-sevilla.htm?id=6610462
3451,Seat Ateca,23.000 €, 1.5 EcoTSI S&S Style,  Gasolina,                              Guadalajara             ,                                  2021             ,                 19.875 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-en-guadalajara.htm?id=6610199
3452,Ford Ranger,17.038 €, 2.2TDCI Cb. Sencilla XL 4x4 150,  Diesel,                              Malaga             ,                                  2014             ,                 136.337 km             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-22tdci-cb-sencilla-xl-4x4-150-en-malaga.htm?id=6609715
3453,Seat León,19.990 €, 1.5 TSI S&S FR Launch Pack L 150,  Gasolina,                              Murcia             ,                                  2020             ,                 9.900 km             ,https://www.coches.com/km0/seminuevo-seat-leon-15-tsi-s_s-fr-launch-pack-l-150-en-murcia.htm?id=6609401
3454,Cupra Ateca,39.900 €,Cupra  2.0 TSI 300 DSG 4Drive,  Gasolina,                              Barcelona             ,                                  2020             ,                 22.618 km             ,https://www.coches.com/coches-segunda-mano/ocasion-cupra-ateca-cupra--20-tsi-300-dsg-4drive-en-barcelona.htm?id=6607991
3455,Mercedes Clase A,15.599 €,A 180CDI BE Urban,  Diesel,                              Madrid             ,                                  2014             ,                 101.939 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180cdi-be-urban-en-madrid.htm?id=6607893
3456,Opel Combo,9.800 €, 1.3CDTI Cargo L1H1 95,  Diesel,"                              Coruña, A             ",                                  2017             ,                 116.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-combo-13cdti-cargo-l1h1-95-en-coruna+a.htm?id=6607501
3457,Hyundai Kona,38.900 €, EV Tecno 2C 150kW,  Eléctrico,                              Alicante             ,                                  2021             ,                 27 km             ,https://www.coches.com/km0/seminuevo-hyundai-kona-ev-tecno-2c-150kw-en-alicante.htm?id=6607335
3458,Ford Mondeo,23.700 €, 2.0TDCI Trend 120,  Diesel,"                              Coruña, A             ",                                  2021             ,                 14.810 km             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-trend-120-en-coruna+a.htm?id=6607099
3459,Nissan Pulsar,9.720 €, 1.2 DIG-T Acenta,  Gasolina,                              Madrid             ,                                  2015             ,                 84.355 km             ,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-12-dig-t-acenta-en-madrid.htm?id=6605163
3460,Kia Ceed,20.864 €,Proceed 1.6 T-GDI GT,  Gasolina,                              Madrid             ,                                  2019             ,                 32.615 km             ,https://www.coches.com/coches-segunda-mano/ocasion-kia-ceed-proceed-16-t-gdi-gt-en-madrid.htm?id=6605099
3461,Audi A1,15.975 €, Sportback 25 TFSI,  Gasolina,                              Zaragoza             ,                                  2019             ,                 62.175 km             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-en-zaragoza.htm?id=6603845
3462,Peugeot 5008,26.790 €, 1.5BlueHDi S&S Active Pack 130,  Diesel,                              Sevilla             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-peugeot-5008-15bluehdi-s_s-active-pack-130-en-sevilla.htm?id=6603541
3463,Citroen C4 Cactus,8.700 €, 1.5BlueHDi S&S Feel 100,  Diesel,                              Girona             ,                                  2018             ,                 150.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-15bluehdi-s_s-feel-100-en-girona.htm?id=6603367
3464,Ford Kuga,14.500 €, 2.0TDCi Auto S&S Business 4x2 150,  Diesel,                              Madrid             ,                                  2017             ,                 124.293 km             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-20tdci-auto-s_s-business-4x2-150-en-madrid.htm?id=6602761
3465,Seat Ibiza,11.100 €, 1.6TDI CR S&S FR 115,  Diesel,                              Madrid             ,                                  2018             ,                 131.192 km             ,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-16tdi-cr-s_s-fr-115-en-madrid.htm?id=6602749
3466,Toyota Prius,27.990 €, Plug-in Híbrido 1.8 Solar,  Híbrido,                              Sevilla             ,                                  2020             ,                 8.659 km             ,https://www.coches.com/km0/seminuevo-toyota-prius-plug-in-hibrido-18-solar-en-sevilla.htm?id=6600157
3467,Citroen C4,19.500 €, 1.2 PureTech Feel Pack S&S 130,  Gasolina,                              Barcelona             ,                                  2021             ,                 2 km             ,https://www.coches.com/km0/seminuevo-citroen-c4-12-puretech-feel-pack-s_s-130-en-barcelona.htm?id=6599111
3468,Suzuki S-Cross,25.085 €, 1.4L Mild Hybrid S2,  Gasolina,                              Madrid             ,                                  2022             ,                 1 km             ,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-madrid.htm?id=6599043
3469,Renault Mégane,4.999 €, 1.5dCi Authentique,  Diesel,                              Alicante             ,                                  2010             ,                 182.072 km             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-authentique-en-alicante.htm?id=6598711
3470,Ford S-Max,5.500 €, 2.0TDCi Trend,  Diesel,                              Alicante             ,                                  2008             ,                 228.635 km             ,https://www.coches.com/coches-segunda-mano/ocasion-ford-s-max-20tdci-trend-en-alicante.htm?id=6598163
3471,Volkswagen Transp…,31.400 €, Furgón 2.0TDI BMT 4M DSG 146kW,  Diesel,                              Barcelona             ,                                  2020             ,                 9.000 km             ,https://www.coches.com/km0/seminuevo-volkswagen-transporter-furgon-20tdi-bmt-4m-dsg-146kw-en-barcelona.htm?id=6597973
3472,Audi A5,53.000 €,S5 Sportback 3.0 TFSI quattro Tiptronic,  Gasolina,                              Barcelona             ,                                  2018             ,                 24.816 km             ,https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-s5-sportback-30-tfsi-quattro-tiptronic-en-barcelona.htm?id=6597607
3473,Bmw Serie 5,25.990 €,520dA Touring,  Diesel,                              Cadiz             ,                                  2018             ,                 133.312 km             ,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-touring-en-cadiz.htm?id=6595983
3474,Opel Mokka,20.670 €, 1.2T S&S Business Elegance 130,  Gasolina,                              Sevilla             ,                                  2022             ,                 0 km             ,https://www.coches.com/km0/seminuevo-opel-mokka-12t-s_s-business-elegance-130-en-sevilla.htm?id=6595219
3475,Mercedes Clase E,14.900 €,E 350 CGI BE 7G,  Gasolina,                              Barcelona             ,                                  2010             ,                 140.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-350-cgi-be-7g-en-barcelona.htm?id=6594375
3476,Opel Crossland,11.963 €, X 1.6T Selective 99,  Diesel,                              Madrid             ,                                  2017             ,                 94.381 km             ,https://www.coches.com/coches-segunda-mano/ocasion-opel-crossland-x-16t-selective-99-en-madrid.htm?id=6593903
3477,Volkswagen Tiguan,13.999 €, 2.0TDI BMT T1 4x2 110,  Diesel,                              Madrid             ,                                  2013             ,                 99.594 km             ,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-tiguan-20tdi-bmt-t1-4x2-110-en-madrid.htm?id=6593865
3478,Mazda CX-30,26.950 €, 2.0 Skyactiv-X Zenith 2WD 132kW,  Gasolina,                              Barcelona             ,                                  2020             ,                 10 km             ,https://www.coches.com/km0/seminuevo-mazda-cx-30-20-skyactiv-x-zenith-2wd-132kw-en-barcelona.htm?id=6592439
3479,Land Rover Range …,71.900 €, 2.0D I4 MHEV SE 4WD Aut. 204,  Diesel,                              Cordoba             ,                                  2021             ,                 16.891 km             ,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-i4-mhev-se-4wd-aut-204-en-cordoba.htm?id=6591679
3480,Peugeot 308,16.200 €, SW 1.5BlueHDi S&S Style 130,  Diesel,                              Barcelona             ,                                  2020             ,                 9.353 km             ,https://www.coches.com/km0/seminuevo-peugeot-308-sw-15bluehdi-s_s-style-130-en-barcelona.htm?id=6591257
3481,Renault Mégane,6.990 €, 1.2 TCE Energy Expression S&S,  Gasolina,                              Tenerife             ,                                  2013             ,                 95.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-12-tce-energy-expression-s_s-en-tenerife.htm?id=6590599
3482,Nissan Qashqai,20.900 €, 1.3 DIG-T N-Tec 4x2 DCT 117kW,  Gasolina,                              Valencia             ,                                  2021             ,                 5.262 km             ,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-n-tec-4x2-dct-117kw-en-valencia.htm?id=6590013
3483,Mercedes Clase A,22.900 €,A 180d 7G-DCT,  Diesel,                              Madrid             ,                                  2019             ,                 69.000 km             ,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-madrid.htm?id=6587315
